"Player","Team","Number","Position","Birthdate","College","Year"
"Barret Robbins","Oakland Raiders","--","C","1973-08-26","Texas Christian","1996"
"Mark McMillian","New Orleans Saints","--","DB","1970-04-29","Alabama","1996"
"Antone Davis","Atlanta Falcons","--","OT","1967-02-28","Tennessee","1996"
"Erik Wilhelm","Cincinnati Bengals","--","QB","1965-11-19","Oregon State","1996"
"Mike Morris","Minnesota Vikings","--","C","1961-02-22","Northeast Missouri State","1996"
"Curtis Buckley","San Francisco 49ers","--","DB","1970-09-25","East Texas State","1996"
"Andy Harmon","Philadelphia Eagles","--","DT","1969-04-06","Kent State","1996"
"Darius Holland","Green Bay Packers","--","DT","1973-11-10","Colorado","1996"
"Jon Clark","Chicago Bears","--","OT","1973-04-11","Temple","1996"
"Brian Habib","Denver Broncos","--","OG","1964-12-02","Washington","1996"
"Troy Drake","Philadelphia Eagles","--","OT","1972-05-15","Indiana","1996"
"Willie McGinest","New England Patriots","--","DE","1971-12-11","Southern California","1996"
"Terry McDaniel","Oakland Raiders","--","DB","1965-02-08","Tennessee","1996"
"Jeff Blake","Cincinnati Bengals","--","QB","1970-12-04","East Carolina","1996"
"Charles Haley","Dallas Cowboys","--","DE","1964-01-06","James Madison","1996"
"Jim Harbaugh","Indianapolis Colts","--","QB","1963-12-23","Michigan","1996"
"Darick Holmes","Buffalo Bills","--","RB","1971-07-01","Portland State","1996"
"Dusty Zeigler","Buffalo Bills","--","C","1973-09-27","Notre Dame","1996"
"Dixon Edwards","Minnesota Vikings","--","LB","1968-03-25","Michigan State","1996"
"Aaron Taylor","Green Bay Packers","--","OG","1972-11-14","Notre Dame","1996"
"Wayne Martin","New Orleans Saints","--","DT","1965-10-26","Arkansas","1996"
"Allen Aldridge","Denver Broncos","--","LB","1972-05-30","Houston","1996"
"Shar Pourdanesh","Washington Redskins","--","OT","1970-07-19","Nevada","1996"
"Chris Mims","San Diego Chargers","--","DT","1970-09-29","Tennessee","1996"
"Tommy Bennett","Arizona Cardinals","--","DB","1973-02-19","UCLA","1996"
"Pat Terrell","Carolina Panthers","--","DB","1968-03-18","Notre Dame","1996"
"Bill Johnson","Pittsburgh Steelers","--","DT","1968-12-09","Michigan State","1996"
"Kenny Shedd","Oakland Raiders","--","WR","1971-02-14","Northern Iowa","1996"
"Reggie Tongue","Kansas City Chiefs","--","DB","1973-04-11","Oregon State","1996"
"Santana Dotson","Green Bay Packers","--","DT","1969-12-19","Baylor","1996"
"Brian Dawkins","Philadelphia Eagles","--","DB","1973-10-13","Clemson","1996"
"Willie Beamon","New York Giants","--","DB","1970-06-14","Northern Iowa","1996"
"Corey Widmer","New York Giants","--","LB","1968-12-25","Montana State","1996"
"Ernest Jones","Denver Broncos","--","LB","1971-04-01","Oregon","1996"
"Cortez Kennedy","Seattle Seahawks","--","DT","1968-08-23","Miami","1996"
"Bill Musgrave","Denver Broncos","--","QB","1967-11-11","Oregon","1996"
"Mike Mamula","Philadelphia Eagles","--","DE","1973-08-14","Boston College","1996"
"Deral Boykin","Philadelphia Eagles","--","DB","1970-09-02","Louisville","1996"
"Kelvin Pritchett","Jacksonville Jaguars","--","DT","1969-10-24","Mississippi","1996"
"Artie Smith","Cincinnati Bengals","--","DT","1970-05-15","Louisiana Tech","1996"
"Tony Banks","Los Angeles Rams","--","QB","1973-04-05","Michigan State","1996"
"Charlie Jones","San Diego Chargers","--","WR","1972-12-01","Fresno State","1996"
"Paul Green","New Orleans Saints","--","TE","1966-10-08","Southern California","1996"
"Vaughn Parker","San Diego Chargers","--","OT","1971-06-05","UCLA","1996"
"Steve Wallace","San Francisco 49ers","--","OT","1964-12-27","Auburn","1996"
"Barry Sanders","Detroit Lions","--","RB","1968-07-16","Oklahoma State","1996"
"Mitch Lyons","Atlanta Falcons","--","TE","1970-05-13","Michigan State","1996"
"Alvin Harper","Tampa Bay Buccaneers","--","WR","1968-07-06","Tennessee","1996"
