"Player","Team","Number","Position","Birthdate","College","Year"
"Dean Wells","Seattle Seahawks","--","LB","1970-07-20","Kentucky","1996"
"Tracy Johnson","Tampa Bay Buccaneers","--","RB","1966-11-29","Clemson","1996"
"Rob Moore","Arizona Cardinals","--","WR","1968-09-27","Syracuse","1996"
"Sean Gilbert","Washington Redskins","--","DT","1970-04-10","Pittsburgh","1996"
"Renaldo Turnbull","New Orleans Saints","--","LB","1966-01-05","West Virginia","1996"
"Aaron Glenn","New York Jets","--","DB","1972-07-16","Texas A&amp;M","1996"
"Freddie Scott","Atlanta Falcons","--","WR","1974-08-26","Penn State","1996"
"Chad Hennings","Dallas Cowboys","--","DT","1965-10-20","Air Force","1996"
"Walt Harris","Chicago Bears","--","DB","1974-08-10","Mississippi State","1996"
"Keith Elias","New York Giants","--","RB","1972-02-03","Princeton","1996"
"Eric Swann","Arizona Cardinals","--","DE","1970-08-16","Wake Technical College","1996"
"Mark Collins","Kansas City Chiefs","--","DB","1964-01-16","Cal State-Fullerton","1996"
"Floyd Turner","Baltimore Ravens","--","WR","1966-05-29","Northwestern State","1996"
"Albert Lewis","Oakland Raiders","--","DB","1960-10-06","Grambling","1996"
"Ron Cox","Green Bay Packers","--","LB","1968-03-29","Fresno State","1996"
"Donnie Abraham","Tampa Bay Buccaneers","--","DB","1973-10-08","East Tennessee State","1996"
"Vashone Adams","Baltimore Ravens","--","DB","1973-09-12","Eastern Michigan","1996"
"Dwight Hollier","Miami Dolphins","--","LB","1969-04-21","North Carolina","1996"
"Tim Ruddy","Miami Dolphins","--","C","1972-04-27","Notre Dame","1996"
"Derwin Gray","Indianapolis Colts","--","DB","1971-04-09","Brigham Young","1996"
"Bryan Cox","Chicago Bears","--","LB","1968-02-17","Western Illinois","1996"
"Jermaine Lewis","Baltimore Ravens","--","WR","1974-10-16","Maryland","1996"
"Lomas Brown","Arizona Cardinals","--","OT","1963-03-30","Florida","1996"
"Steve Walsh","Los Angeles Rams","--","QB","1966-12-01","Miami","1996"
"Reggie Cobb","New York Jets","--","RB","1968-07-07","Tennessee","1996"
"Juran Bolden","Atlanta Falcons","--","DB","1974-06-27","Mississippi Delta","1996"
"Andre Royal","Carolina Panthers","--","LB","1972-12-01","Alabama","1996"
"Bob Kuberski","Green Bay Packers","--","DT","1971-04-05","Navy","1996"
"Kevin Turner","Philadelphia Eagles","--","RB","1969-06-12","Alabama","1996"
"Trevor Matich","Washington Redskins","--","C","1961-10-09","Brigham Young","1996"
"Lester Archambeau","Atlanta Falcons","--","DE","1967-06-27","Stanford","1996"
"James Jett","Oakland Raiders","--","WR","1970-12-28","West Virginia","1996"
"Troy Sienkiewicz","San Diego Chargers","--","OG","1972-05-27","New Mexico State","1996"
"Chris Calloway","New York Giants","--","WR","1968-03-29","Michigan","1996"
"Fred Miller","Los Angeles Rams","--","OT","1973-02-06","Baylor","1996"
"Erik Williams","Dallas Cowboys","--","OT","1968-09-07","Central State","1996"
"John Parrella","San Diego Chargers","--","DT","1969-11-22","Nebraska","1996"
"Ricky Reynolds","New England Patriots","--","DB","1965-01-19","Washington State","1996"
"Ray Farmer","Philadelphia Eagles","--","LB","1972-07-01","Duke","1996"
"Keith Jennings","Chicago Bears","--","TE","1966-05-19","Clemson","1996"
"Patrick Jeffers","Denver Broncos","--","WR","1973-02-02","Virginia","1996"
"Eric Allen","New Orleans Saints","--","DB","1965-11-22","Arizona State","1996"
"Travis Jervey","Green Bay Packers","--","RB","1972-05-05","Citadel","1996"
"Charles Jordan","Miami Dolphins","--","WR","1969-10-09","Long Beach City College","1996"
"Marc Spindler","New York Jets","--","DT","1969-11-28","Pittsburgh","1996"
"Carwell Gardner","Baltimore Ravens","--","RB","1966-11-27","Louisville","1996"
"Terrell Davis","Denver Broncos","--","RB","1972-10-28","Georgia","1996"
"Jim McMahon","Green Bay Packers","--","QB","1959-08-21","Brigham Young","1996"
"Lance Smith","New York Giants","--","OG","1963-01-01","Louisiana State","1996"
"Todd Steussie","Minnesota Vikings","--","OT","1970-12-01","California","1996"
"Jackie Harris","Tampa Bay Buccaneers","--","TE","1968-01-04","Northeast Louisiana","1996"
"Jeff Criswell","Kansas City Chiefs","--","OT","1964-03-07","Graceland","1996"
"Lorenzo Lynch","Oakland Raiders","--","DB","1963-04-06","Sacramento State","1996"
"Kirk Botkin","Pittsburgh Steelers","--","TE","1971-03-19","Arkansas","1996"
"Don Sasa","San Diego Chargers","--","DE","1972-09-16","Washington State","1996"
"Elvis Grbac","San Francisco 49ers","--","QB","1970-08-13","Michigan","1996"
"David Palmer","Minnesota Vikings","--","RB","1972-11-19","Alabama","1996"
"Darion Conner","Philadelphia Eagles","--","LB","1967-09-28","Jackson State","1996"
"Byron Chamberlain","Denver Broncos","--","TE","1971-10-17","Wayne State (NE)","1996"
"Keyshawn Johnson","New York Jets","--","WR","1972-07-22","Southern California","1996"
"Desmond Howard","Green Bay Packers","--","WR","1970-05-15","Michigan","1996"
"Trev Alberts","Indianapolis Colts","--","LB","1970-08-08","Nebraska","1996"
"Elbert Shelley","Atlanta Falcons","--","DB","1964-12-24","Arkansas State","1996"
"Fred Baxter","New York Jets","--","TE","1971-06-14","Auburn","1996"
"Clarence Jones","New Orleans Saints","--","OT","1968-05-06","Maryland","1996"
"Lewis Bush","San Diego Chargers","--","LB","1969-12-02","Washington State","1996"
"Robert Massey","Jacksonville Jaguars","--","DB","1967-02-17","North Carolina Central","1996"
"Ricky Siglar","Kansas City Chiefs","--","OT","1966-06-14","San Jose State","1996"
"Bernie Kosar","Miami Dolphins","--","QB","1963-11-25","Miami","1996"
"Jeff Wilkins","San Francisco 49ers","--","K","1972-04-19","Youngstown State","1996"
"Dwayne Harper","San Diego Chargers","--","DB","1966-03-29","South Carolina State","1996"
"Phillip Daniels","Seattle Seahawks","--","DE","1973-03-04","Georgia","1996"
"David White","Buffalo Bills","--","LB","1970-02-27","Nebraska","1996"
"Larry Whigham","New England Patriots","--","DB","1972-06-23","Northeast Louisiana","1996"
"Dennis Brown","San Francisco 49ers","--","DE","1967-11-06","Washington","1996"
"Seth Joyner","Arizona Cardinals","--","LB","1964-11-18","Texas-El Paso","1996"
"Rodney Young","New York Giants","--","DB","1973-01-25","Louisiana State","1996"
"Brett Maxie","Carolina Panthers","--","DB","1962-01-13","Texas Southern","1996"
"Terrell Owens","San Francisco 49ers","--","WR","1973-12-07","Tennessee-Chattanooga","1996"
"Chris Jacke","Green Bay Packers","--","K","1966-03-12","Texas-El Paso","1996"
"Marco Battaglia","Cincinnati Bengals","--","TE","1973-01-25","Rutgers","1996"
"Alex Van Pelt","Buffalo Bills","--","QB","1970-05-01","Pittsburgh","1996"
"Dan Owens","Atlanta Falcons","--","DT","1967-03-16","Southern California","1996"
"Rhett Hall","Philadelphia Eagles","--","DT","1968-12-05","California","1996"
"Darrien Gordon","San Diego Chargers","--","DB","1970-11-14","Stanford","1996"
"Sam Gash","New England Patriots","--","RB","1969-03-07","Penn State","1996"
"Charles Way","New York Giants","--","RB","1972-12-27","Virginia","1996"
"Darrin Smith","Dallas Cowboys","--","LB","1970-04-15","Miami","1996"
"Gabe Wilkins","Green Bay Packers","--","DE","1971-09-01","Gardner-Webb","1996"
"Eric Bjornson","Dallas Cowboys","--","TE","1971-12-15","Washington","1996"
"Wally Williams","Baltimore Ravens","--","OG","1971-02-19","Florida A&amp;M","1996"
"Steve Israel","San Francisco 49ers","--","DB","1969-03-16","Pittsburgh","1996"
"Gary Zimmerman","Denver Broncos","--","OT","1961-12-13","Oregon","1996"
"Randall McDaniel","Minnesota Vikings","--","OG","1964-12-19","Arizona State","1996"
"Craig Powell","Baltimore Ravens","--","LB","1971-11-13","Ohio State","1996"
"Chad Cota","Carolina Panthers","--","DB","1971-08-13","Oregon","1996"
"Michael Jackson","Baltimore Ravens","--","WR","1969-04-12","Southern Mississippi","1996"
"Harris Barton","San Francisco 49ers","--","OT","1964-04-19","North Carolina","1996"
"Jason Sehorn","New York Giants","--","DB","1971-04-15","Southern California","1996"
"Jeff Gooch","Tampa Bay Buccaneers","--","LB","1974-10-31","Austin Peay","1996"
"J.B. Brown","Miami Dolphins","--","DB","1967-01-05","Maryland","1996"
"Joe Horn","Kansas City Chiefs","--","WR","1972-01-16","Itawamba JC (MS)","1996"
"Dwayne Gordon","San Diego Chargers","--","LB","1969-11-02","New Hampshire","1996"
"Mark Rypien","Philadelphia Eagles","--","QB","1962-10-02","Washington State","1996"
"David Frisch","Minnesota Vikings","--","TE","1970-06-22","Colorado State","1996"
"Walter Reeves","San Diego Chargers","--","TE","1965-12-16","Auburn","1996"
"John Browning","Kansas City Chiefs","--","DE","1973-09-30","West Virginia","1996"
"Terry Mickens","Green Bay Packers","--","WR","1971-02-21","Florida A&amp;M","1996"
"Rick Cunningham","Oakland Raiders","--","OG","1967-01-04","Texas A&amp;M","1996"
"Anthony Pleasant","Baltimore Ravens","--","DE","1968-01-27","Tennessee State","1996"
"Jay Williams","Los Angeles Rams","--","DE","1971-10-13","Wake Forest","1996"
"Sterling Palmer","Washington Redskins","--","DE","1971-02-04","Florida State","1996"
"Mark Maddox","Buffalo Bills","--","LB","1968-03-23","Northern Michigan","1996"
"George Jamison","Kansas City Chiefs","--","LB","1962-09-30","Cincinnati","1996"
"James Willis","Philadelphia Eagles","--","LB","1972-09-02","Auburn","1996"
"Roman Fortin","Atlanta Falcons","--","C","1967-02-26","San Diego State","1996"
"Ashley Ambrose","Cincinnati Bengals","--","DB","1970-09-17","Mississippi Valley State","1996"
"Brad Daluiso","New York Giants","--","K","1967-12-31","UCLA","1996"
"John Alt","Kansas City Chiefs","--","OT","1962-05-30","Iowa","1996"
"Randy Kirk","San Francisco 49ers","--","LB","1964-12-27","San Diego State","1996"
"Jumpy Geathers","Denver Broncos","--","DT","1960-06-26","Wichita State","1996"
"Shawn Jefferson","New England Patriots","--","WR","1969-02-22","Central Florida","1996"
"Michael Irvin","Dallas Cowboys","--","WR","1966-03-05","Miami","1996"
"Mike Gruttadauria","Los Angeles Rams","--","C","1972-12-06","Central Florida","1996"
"Don Davey","Jacksonville Jaguars","--","DT","1968-04-08","Wisconsin","1996"
"Marquis Walker","Washington Redskins","--","DB","1972-07-06","Southeast Missouri State","1996"
"Bobby Engram","Chicago Bears","--","WR","1973-01-07","Penn State","1996"
"Ted Johnson","New England Patriots","--","LB","1972-12-04","Colorado","1996"
"Jeff Dellenbach","Green Bay Packers","--","OG","1963-02-14","Wisconsin","1996"
"Tydus Winans","Cincinnati Bengals","--","WR","1972-07-26","Fresno State","1996"
"Raymond Jackson","Buffalo Bills","--","DB","1973-02-17","Colorado State","1996"
"Doug Brien","New Orleans Saints","--","K","1970-11-24","California","1996"
"Randy Jordan","Jacksonville Jaguars","--","RB","1970-06-06","North Carolina","1996"
"Stepfret Williams","Dallas Cowboys","--","WR","1973-06-14","Northeast Louisiana","1996"
"Rob Burnett","Baltimore Ravens","--","DE","1967-08-27","Syracuse","1996"
"Aaron Jones","Miami Dolphins","--","DE","1966-12-18","Eastern Kentucky","1996"
"Dwayne Carswell","Denver Broncos","--","TE","1972-01-18","Liberty","1996"
"Shawn Lee","San Diego Chargers","--","DE","1966-10-24","North Alabama","1996"
"Don Griffin","Philadelphia Eagles","--","DB","1964-03-17","Middle Tennessee State","1996"
"Glenn Parker","Buffalo Bills","--","OG","1966-04-22","Arizona","1996"
"Donta Jones","Pittsburgh Steelers","--","LB","1972-08-27","Nebraska","1996"
"Doug Widell","Indianapolis Colts","--","OG","1966-09-23","Boston College","1996"
"Jim Everett","New Orleans Saints","--","QB","1963-01-03","Purdue","1996"
"Carlos Jenkins","Los Angeles Rams","--","LB","1968-07-12","Michigan State","1996"
"Leroy Thompson","Tampa Bay Buccaneers","--","RB","1968-02-03","Penn State","1996"
"Scott Slutzker","Indianapolis Colts","--","TE","1972-12-20","Iowa","1996"
"Isaac Davis","San Diego Chargers","--","OG","1972-04-08","Arkansas","1996"
"Kipp Vickers","Indianapolis Colts","--","OT","1969-08-27","Miami","1996"
"Ray Donaldson","Dallas Cowboys","--","C","1958-05-18","Georgia","1996"
"Jeff Brady","Minnesota Vikings","--","LB","1968-11-09","Kentucky","1996"
"Lonnie Marts","Tampa Bay Buccaneers","--","LB","1968-11-10","Tulane","1996"
"Detron Smith","Denver Broncos","--","RB","1974-02-25","Texas A&amp;M","1996"
"Bill Brooks","Washington Redskins","--","WR","1964-04-06","Boston University","1996"
"Jerry Wilson","Miami Dolphins","--","DB","1973-07-17","Southern","1996"
"Jeff Uhlenhake","Washington Redskins","--","C","1966-01-28","Ohio State","1996"
"Johnny Mitchell","Dallas Cowboys","--","TE","1971-01-20","Nebraska","1996"
"Mack Strong","Seattle Seahawks","--","RB","1971-09-11","Georgia","1996"
"Deon Figures","Pittsburgh Steelers","--","DB","1970-01-20","Colorado","1996"
"Brad Ottis","Arizona Cardinals","--","DE","1972-08-02","Wayne State (NE)","1996"
"Joseph Nash","Seattle Seahawks","--","DT","1960-10-11","Boston College","1996"
"Richard Huntley","Atlanta Falcons","--","RB","1972-09-18","Winston-Salem State","1996"
"Chris Slade","New England Patriots","--","LB","1971-01-30","Virginia","1996"
"Brad Culpepper","Tampa Bay Buccaneers","--","DT","1969-05-08","Florida","1996"
"Mike Morton","Oakland Raiders","--","LB","1972-03-28","North Carolina","1996"
"Ed Simmons","Washington Redskins","--","OT","1963-12-31","Eastern Washington","1996"
"Sean Harris","Chicago Bears","--","LB","1972-02-25","Arizona","1996"
"Marshall Faulk","Indianapolis Colts","--","RB","1973-02-26","San Diego State","1996"
"Herman Arvie","Baltimore Ravens","--","OT","1970-10-12","Grambling","1996"
"Cornelius Bennett","Atlanta Falcons","--","LB","1965-08-25","Alabama","1996"
"Irving Fryar","Philadelphia Eagles","--","WR","1962-09-28","Nebraska","1996"
"Ruben Brown","Buffalo Bills","--","OG","1972-02-13","Pittsburgh","1996"
"Lawrence Dawsey","New York Giants","--","WR","1967-11-16","Florida State","1996"
"Michael McGruder","New England Patriots","--","DB","1964-05-06","Kent State","1996"
"Henry Jones","Buffalo Bills","--","DB","1967-12-29","Illinois","1996"
"Anthony Redmon","Arizona Cardinals","--","OG","1971-04-09","Auburn","1996"
"Matt Joyce","Arizona Cardinals","--","OG","1972-03-30","Richmond","1996"
"Chris Hayes","Green Bay Packers","--","DB","1972-05-07","Washington State","1996"
"Randy Hilliard","Denver Broncos","--","DB","1967-02-06","Northwestern State","1996"
"Sean Moran","Buffalo Bills","--","DE","1973-06-05","Colorado State","1996"
"James Hundon","Cincinnati Bengals","--","WR","1971-04-09","Portland State","1996"
"Tim Morabito","Cincinnati Bengals","--","DT","1973-10-12","Boston College","1996"
"Scott Mitchell","Detroit Lions","--","QB","1968-01-02","Utah","1996"
"Andrew Glover","Oakland Raiders","--","TE","1967-08-12","Grambling","1996"
"John Fina","Buffalo Bills","--","OT","1969-03-11","Arizona","1996"
"Darrius Johnson","Denver Broncos","--","DB","1973-05-18","Oklahoma","1996"
"Marc Woodard","Philadelphia Eagles","--","LB","1970-02-21","Mississippi State","1996"
"Mike Scurlock","Los Angeles Rams","--","DB","1972-02-26","Arizona","1996"
"Marcus Buckley","New York Giants","--","LB","1971-02-03","Texas A&amp;M","1996"
"Hugh Douglas","New York Jets","--","DE","1971-08-23","Central State","1996"
"Tom Barndt","Kansas City Chiefs","--","DT","1972-03-14","Pittsburgh","1996"
"Damon Pieri","Carolina Panthers","--","DB","1970-09-25","San Diego State","1996"
"Winfred Tubbs","New Orleans Saints","--","LB","1970-09-24","Texas","1996"
"Zefross Moss","Detroit Lions","--","OT","1966-08-17","Alabama State","1996"
"Corwin Brown","New England Patriots","--","DB","1970-04-25","Michigan","1996"
"Jim Kelly","Buffalo Bills","--","QB","1960-02-14","Miami","1996"
"John Hudson","New York Jets","--","OG","1968-01-29","Auburn","1996"
"Clyde Simmons","Jacksonville Jaguars","--","DE","1964-08-04","Western Carolina","1996"
"Phillippi Sparks","New York Giants","--","DB","1969-04-15","Arizona State","1996"
"Scott Gragg","New York Giants","--","OT","1972-02-28","Montana","1996"
"Reggie Rusk","Tampa Bay Buccaneers","--","DB","1972-10-19","Kentucky","1996"
"Dave Garnett","Minnesota Vikings","--","LB","1970-12-06","Stanford","1996"
"Dino Philyaw","Carolina Panthers","--","RB","1970-10-06","Oregon","1996"
"Dan Turk","Oakland Raiders","--","C","1962-06-25","Wisconsin","1996"
"Rodney Hampton","New York Giants","--","RB","1969-04-03","Georgia","1996"
"Fred Barnett","Miami Dolphins","--","WR","1966-06-17","Arkansas State","1996"
"Rod Woodson","Pittsburgh Steelers","--","DB","1965-03-10","Purdue","1996"
"Tamarick Vanover","Kansas City Chiefs","--","WR","1974-02-25","Florida State","1996"
"Marlo Perry","Buffalo Bills","--","LB","1972-08-25","Jackson State","1996"
"Monty Brown","New England Patriots","--","LB","1970-04-13","Ferris State","1996"
"Irving Spikes","Miami Dolphins","--","RB","1970-12-21","Northeast Louisiana","1996"
"Dana Stubblefield","San Francisco 49ers","--","DT","1970-11-14","Kansas","1996"
"Gerald Williams","Carolina Panthers","--","DE","1963-09-08","Auburn","1996"
"Ed King","New Orleans Saints","--","OG","1969-12-03","Auburn","1996"
"Regan Upshaw","Tampa Bay Buccaneers","--","DE","1975-08-12","California","1996"
"Emmitt Smith","Dallas Cowboys","--","RB","1969-05-15","Florida","1996"
"Andre Hastings","Pittsburgh Steelers","--","WR","1970-11-07","Georgia","1996"
"Ray Mickens","New York Jets","--","DB","1973-01-04","Texas A&amp;M","1996"
"Reggie Clark","Jacksonville Jaguars","--","LB","1967-10-17","North Carolina","1996"
"Mitch Berger","Minnesota Vikings","--","P","1972-06-24","Colorado","1996"
"Grant Williams","Seattle Seahawks","--","OT","1974-05-10","Louisiana Tech","1996"
"Kimo von Oelhoffen","Cincinnati Bengals","--","DT","1971-01-30","Boise State","1996"
"Charles Dimry","Tampa Bay Buccaneers","--","DB","1966-01-31","Nevada-Las Vegas","1996"
"Scott Blanton","Washington Redskins","--","K","1973-07-01","Oklahoma","1996"
"Troy Barnett","New England Patriots","--","DT","1971-05-24","North Carolina","1996"
"Paul Gruber","Tampa Bay Buccaneers","--","OT","1965-02-24","Wisconsin","1996"
"Marcus Pollard","Indianapolis Colts","--","TE","1972-02-08","Bradley","1996"
"Kerry Cash","Chicago Bears","--","TE","1969-08-07","Texas","1996"
"Abdul-Karim Al-Jabbar","Miami Dolphins","--","RB","1974-06-28","UCLA","1996"
"Ryan Stewart","Detroit Lions","--","DB","1975-09-30","Georgia Tech","1996"
"Aaron Bailey","Indianapolis Colts","--","WR","1971-10-24","Louisville","1996"
"Chris Walsh","Minnesota Vikings","--","WR","1968-12-12","Stanford","1996"
"Jeff Buckey","Miami Dolphins","--","OT","1974-08-07","Stanford","1996"
"Jeff Hartings","Detroit Lions","--","OG","1972-09-07","Penn State","1996"
"Damon Watts","Indianapolis Colts","--","DB","1972-04-08","Indiana","1996"
"Ken Ruettgers","Green Bay Packers","--","OT","1962-08-20","Southern California","1996"
"Earl Dotson","Green Bay Packers","--","OT","1970-12-17","Texas A&amp;M-Kingsville","1996"
"Adam Walker","Philadelphia Eagles","--","RB","1968-06-07","Pittsburgh","1996"
"Darryl Pounds","Washington Redskins","--","DB","1972-07-21","Nicholls State","1996"
"Trace Armstrong","Miami Dolphins","--","DE","1965-10-05","Florida","1996"
"Mark Harris","San Francisco 49ers","--","WR","1970-04-28","Stanford","1996"
"Errict Rhett","Tampa Bay Buccaneers","--","RB","1970-12-11","Florida","1996"
"Luther Elliss","Detroit Lions","--","DT","1973-03-22","Utah","1996"
"Alfred Williams","Denver Broncos","--","DE","1968-11-06","Colorado","1996"
"Van Malone","Detroit Lions","--","DB","1970-07-01","Texas","1996"
"Ben Smith","Arizona Cardinals","--","DB","1967-05-14","Georgia","1996"
"Tommy Barnhardt","Tampa Bay Buccaneers","--","P","1963-06-11","North Carolina","1996"
"Christian Fauria","Seattle Seahawks","--","TE","1971-09-22","Colorado","1996"
"Mark Tuinei","Dallas Cowboys","--","OT","1960-03-31","Hawaii","1996"
"Eric Lynch","Detroit Lions","--","RB","1970-05-16","Grand Valley State","1996"
"Bobby Hoying","Philadelphia Eagles","--","QB","1972-09-20","Ohio State","1996"
"Gary Plummer","San Francisco 49ers","--","LB","1960-01-26","California","1996"
"Richard Brown","Minnesota Vikings","--","LB","1965-09-21","San Diego State","1996"
"Sherman Williams","Dallas Cowboys","--","RB","1973-08-13","Alabama","1996"
"John Carney","San Diego Chargers","--","K","1964-04-20","Notre Dame","1996"
"Evan Pilgrim","Chicago Bears","--","OG","1972-08-14","Brigham Young","1996"
"Jerry Rice","San Francisco 49ers","--","WR","1962-10-13","Mississippi Valley State","1996"
"Tito Wooten","New York Giants","--","DB","1971-12-12","Northeast Louisiana","1996"
"Tito Paul","Arizona Cardinals","--","DB","1972-05-24","Ohio State","1996"
"Ron Carpenter","New York Jets","--","DB","1970-01-20","Miami (OH)","1996"
"Pat Swilling","Oakland Raiders","--","LB","1964-10-25","Georgia Tech","1996"
"Charlie Williams","Dallas Cowboys","--","DB","1972-02-02","Bowling Green","1996"
"Henry Thomas","Detroit Lions","--","DT","1965-01-12","Louisiana State","1996"
"Bernie Parmalee","Miami Dolphins","--","RB","1967-09-16","Ball State","1996"
"Jesse Campbell","New York Giants","--","DB","1969-04-11","North Carolina State","1996"
"Robert Brooks","Green Bay Packers","--","WR","1970-06-23","South Carolina","1996"
"Greg Truitt","Cincinnati Bengals","--","C","1965-12-08","Penn State","1996"
"Winston Moss","Seattle Seahawks","--","LB","1965-12-24","Miami","1996"
"Wayne Chrebet","New York Jets","--","WR","1973-08-14","Hofstra","1996"
"Jeff Novak","Jacksonville Jaguars","--","OG","1967-07-27","Texas State","1996"
"Ernie Logan","Jacksonville Jaguars","--","DT","1968-05-18","East Carolina","1996"
"John Mobley","Denver Broncos","--","LB","1973-10-10","Kutztown","1996"
"Kwamie Lassiter","Arizona Cardinals","--","DB","1969-12-03","Kansas","1996"
"Dave Richards","New England Patriots","--","OT","1966-04-11","UCLA","1996"
"Joel Smeenge","Jacksonville Jaguars","--","DE","1968-04-01","Western Michigan","1996"
"Jerome Henderson","New England Patriots","--","DB","1969-08-08","Clemson","1996"
"Greg Montgomery","Baltimore Ravens","--","P","1964-10-29","Michigan State","1996"
"Aubrey Beavers","New York Jets","--","LB","1971-08-30","Oklahoma","1996"
"Jay Bellamy","Seattle Seahawks","--","DB","1972-07-08","Rutgers","1996"
"Lee Woodall","San Francisco 49ers","--","LB","1969-10-31","West Chester","1996"
"Mark Montreuil","San Diego Chargers","--","DB","1971-12-29","Concordia (Quebec)","1996"
"Michael Stewart","Miami Dolphins","--","DB","1965-07-12","Fresno State","1996"
"Greg Jeffries","Detroit Lions","--","DB","1971-10-16","Virginia","1996"
"Todd Kelly","Atlanta Falcons","--","DE","1970-11-27","Tennessee","1996"
"Corbin Lacina","Buffalo Bills","--","OG","1970-11-02","Augustana (SD)","1996"
"Ki-Jana Carter","Cincinnati Bengals","--","RB","1973-09-12","Penn State","1996"
"Casey Weldon","Tampa Bay Buccaneers","--","QB","1969-02-03","Florida State","1996"
"Warren Moon","Minnesota Vikings","--","QB","1956-11-18","Washington","1996"
"Drew Bledsoe","New England Patriots","--","QB","1972-02-14","Washington State","1996"
"Stephen Boyd","Detroit Lions","--","LB","1972-08-22","Boston College","1996"
"Joe Johnson","New Orleans Saints","--","DE","1972-07-11","Louisville","1996"
"Dexter Nottage","Washington Redskins","--","DE","1970-11-14","Florida A&amp;M","1996"
"Pio Sagapolutele","New England Patriots","--","DT","1969-11-28","San Diego State","1996"
"Robert Goff","Minnesota Vikings","--","DT","1965-10-02","Auburn","1996"
"Amp Lee","Minnesota Vikings","--","RB","1971-10-01","Florida State","1996"
