"Player","Team","Number","Position","Birthdate","College","Year"
"Barret Robbins","Oakland Raiders","--","C","1973-08-26","Texas Christian","1997"
"Mark McMillian","Kansas City Chiefs","--","DB","1970-04-29","Alabama","1997"
"Antone Davis","Atlanta Falcons","--","OT","1967-02-28","Tennessee","1997"
"Rob Kelly","New Orleans Saints","--","DB","1974-06-21","Ohio State","1997"
"Mike Morris","Minnesota Vikings","--","C","1961-02-22","Northeast Missouri State","1997"
"Curtis Buckley","San Francisco 49ers","--","DB","1970-09-25","East Texas State","1997"
"Andy Harmon","Philadelphia Eagles","--","DT","1969-04-06","Kent State","1997"
"Darius Holland","Green Bay Packers","--","DT","1973-11-10","Colorado","1997"
"Jon Clark","Chicago Bears","--","OT","1973-04-11","Temple","1997"
"Brian Habib","Denver Broncos","--","OG","1964-12-02","Washington","1997"
"Troy Drake","Philadelphia Eagles","--","OT","1972-05-15","Indiana","1997"
"Willie McGinest","New England Patriots","--","DE","1971-12-11","Southern California","1997"
"Terry McDaniel","Oakland Raiders","--","DB","1965-02-08","Tennessee","1997"
"Jeff Blake","Cincinnati Bengals","--","QB","1970-12-04","East Carolina","1997"
"Jim Harbaugh","Indianapolis Colts","--","QB","1963-12-23","Michigan","1997"
"Darick Holmes","Buffalo Bills","--","RB","1971-07-01","Portland State","1997"
"Dusty Zeigler","Buffalo Bills","--","C","1973-09-27","Notre Dame","1997"
"Dixon Edwards","Minnesota Vikings","--","LB","1968-03-25","Michigan State","1997"
"Aaron Taylor","Green Bay Packers","--","OG","1972-11-14","Notre Dame","1997"
"Wayne Martin","New Orleans Saints","--","DT","1965-10-26","Arkansas","1997"
"Allen Aldridge","Denver Broncos","--","LB","1972-05-30","Houston","1997"
"Shar Pourdanesh","Washington Redskins","--","OT","1970-07-19","Nevada","1997"
"Chris Mims","Washington Redskins","--","DT","1970-09-29","Tennessee","1997"
"Tommy Bennett","Arizona Cardinals","--","DB","1973-02-19","UCLA","1997"
"Pat Terrell","Carolina Panthers","--","DB","1968-03-18","Notre Dame","1997"
"Bill Johnson","Los Angeles Rams","--","DT","1968-12-09","Michigan State","1997"
"Kenny Shedd","Oakland Raiders","--","WR","1971-02-14","Northern Iowa","1997"
"Heath Irwin","New England Patriots","--","OG","1973-06-27","Colorado","1997"
"James Farrior","New York Jets","--","LB","1975-01-06","Virginia","1997"
"Reggie Tongue","Kansas City Chiefs","--","DB","1973-04-11","Oregon State","1997"
"Santana Dotson","Green Bay Packers","--","DT","1969-12-19","Baylor","1997"
"Brian Dawkins","Philadelphia Eagles","--","DB","1973-10-13","Clemson","1997"
