"Player","Team","Number","Position","Birthdate","College","Year"
"Lonnie Palelei","New York Jets","--","OT","1970-10-15","Nevada-Las Vegas","1997"
"Corey Widmer","New York Giants","--","LB","1968-12-25","Montana State","1997"
"Ernest Jones","Denver Broncos","--","LB","1971-04-01","Oregon","1997"
"Cortez Kennedy","Seattle Seahawks","--","DT","1968-08-23","Miami","1997"
"Mike Mamula","Philadelphia Eagles","--","DE","1973-08-14","Boston College","1997"
"Grady Jackson","Oakland Raiders","--","DT","1973-01-21","Knoxville","1997"
"Kelvin Pritchett","Jacksonville Jaguars","--","DT","1969-10-24","Mississippi","1997"
"Chris Hewitt","New Orleans Saints","--","DB","1974-07-22","Cincinnati","1997"
"Priest Holmes","Baltimore Ravens","--","RB","1973-10-07","Texas","1997"
"Tony Banks","Los Angeles Rams","--","QB","1973-04-05","Michigan State","1997"
"Charlie Jones","San Diego Chargers","--","WR","1972-12-01","Fresno State","1997"
"Jerry Crafts","Philadelphia Eagles","--","OT","1968-01-06","Louisville","1997"
"Vaughn Parker","San Diego Chargers","--","OT","1971-06-05","UCLA","1997"
"Steve Wallace","Kansas City Chiefs","--","OT","1964-12-27","Auburn","1997"
"Barry Sanders","Detroit Lions","--","RB","1968-07-16","Oklahoma State","1997"
"Mitch Lyons","Pittsburgh Steelers","--","TE","1970-05-13","Michigan State","1997"
"Alvin Harper","Washington Redskins","--","WR","1968-07-06","Tennessee","1997"
"Brett Bech","New Orleans Saints","--","WR","1971-08-20","Louisiana State","1997"
"Dean Wells","Seattle Seahawks","--","LB","1970-07-20","Kentucky","1997"
"Mike Cherry","New York Giants","--","QB","1973-12-15","Murray State","1997"
"Rob Moore","Arizona Cardinals","--","WR","1968-09-27","Syracuse","1997"
"Barron Tanner","Miami Dolphins","--","DT","1973-09-14","Oklahoma","1997"
"Renaldo Turnbull","Carolina Panthers","--","LB","1966-01-05","West Virginia","1997"
"Aaron Glenn","New York Jets","--","DB","1972-07-16","Texas A&amp;M","1997"
"Freddie Scott","Atlanta Falcons","--","WR","1974-08-26","Penn State","1997"
"Chad Hennings","Dallas Cowboys","--","DT","1965-10-20","Air Force","1997"
"Walt Harris","Chicago Bears","--","DB","1974-08-10","Mississippi State","1997"
"Olindo Mare","Miami Dolphins","--","K","1973-06-06","Syracuse","1997"
"Robert Tate","Minnesota Vikings","--","DB","1973-10-19","Cincinnati","1997"
"Eric Swann","Arizona Cardinals","--","DE","1970-08-16","Wake Technical College","1997"
"Mark Collins","Green Bay Packers","--","DB","1964-01-16","Cal State-Fullerton","1997"
"Bob Christian","Atlanta Falcons","--","RB","1968-11-14","Northwestern","1997"
"Pat Williams","Buffalo Bills","--","DT","1972-10-24","Texas A&amp;M","1997"
"David Patten","New York Giants","--","WR","1974-08-19","Western Carolina","1997"
"Albert Lewis","Oakland Raiders","--","DB","1960-10-06","Grambling","1997"
"Ron Cox","Chicago Bears","--","LB","1968-03-29","Fresno State","1997"
"Donnie Abraham","Tampa Bay Buccaneers","--","DB","1973-10-08","East Tennessee State","1997"
"Vashone Adams","New Orleans Saints","--","DB","1973-09-12","Eastern Michigan","1997"
"Dwight Hollier","Miami Dolphins","--","LB","1969-04-21","North Carolina","1997"
"Tim Ruddy","Miami Dolphins","--","C","1972-04-27","Notre Dame","1997"
"Derwin Gray","Indianapolis Colts","--","DB","1971-04-09","Brigham Young","1997"
"Bryan Cox","Chicago Bears","--","LB","1968-02-17","Western Illinois","1997"
"Jermaine Lewis","Baltimore Ravens","--","WR","1974-10-16","Maryland","1997"
"Lomas Brown","Arizona Cardinals","--","OT","1963-03-30","Florida","1997"
"Bernard Russ","New England Patriots","--","LB","1973-11-04","West Virginia","1997"
"Derrick Rodgers","Miami Dolphins","--","LB","1971-10-14","Arizona State","1997"
"Steve Walsh","Tampa Bay Buccaneers","--","QB","1966-12-01","Miami","1997"
"Juran Bolden","Atlanta Falcons","--","DB","1974-06-27","Mississippi Delta","1997"
"Andre Royal","Carolina Panthers","--","LB","1972-12-01","Alabama","1997"
"Bob Kuberski","Green Bay Packers","--","DT","1971-04-05","Navy","1997"
"Kevin Turner","Philadelphia Eagles","--","RB","1969-06-12","Alabama","1997"
"Lester Archambeau","Atlanta Falcons","--","DE","1967-06-27","Stanford","1997"
"James Jett","Oakland Raiders","--","WR","1970-12-28","West Virginia","1997"
"Troy Sienkiewicz","San Diego Chargers","--","OG","1972-05-27","New Mexico State","1997"
"Chris Calloway","New York Giants","--","WR","1968-03-29","Michigan","1997"
"Fred Miller","Los Angeles Rams","--","OT","1973-02-06","Baylor","1997"
"Erik Williams","Dallas Cowboys","--","OT","1968-09-07","Central State","1997"
"John Parrella","San Diego Chargers","--","DT","1969-11-22","Nebraska","1997"
"Ray Farmer","Philadelphia Eagles","--","LB","1972-07-01","Duke","1997"
"Keith Jennings","Chicago Bears","--","TE","1966-05-19","Clemson","1997"
"Patrick Jeffers","Denver Broncos","--","WR","1973-02-02","Virginia","1997"
"Eric Allen","New Orleans Saints","--","DB","1965-11-22","Arizona State","1997"
"Travis Jervey","Green Bay Packers","--","RB","1972-05-05","Citadel","1997"
"Charles Jordan","Miami Dolphins","--","WR","1969-10-09","Long Beach City College","1997"
"Marc Spindler","Detroit Lions","--","DT","1969-11-28","Pittsburgh","1997"
"Carwell Gardner","San Diego Chargers","--","RB","1966-11-27","Louisville","1997"
"Jay Graham","Baltimore Ravens","--","RB","1975-07-14","Tennessee","1997"
"Terrell Davis","Denver Broncos","--","RB","1972-10-28","Georgia","1997"
"Todd Steussie","Minnesota Vikings","--","OT","1970-12-01","California","1997"
"Tony Ramirez","Detroit Lions","--","OT","1973-01-26","Northern Colorado","1997"
"Jackie Harris","Tampa Bay Buccaneers","--","TE","1968-01-04","Northeast Louisiana","1997"
"Jeff Criswell","Kansas City Chiefs","--","OT","1964-03-07","Graceland","1997"
"Lorenzo Lynch","Oakland Raiders","--","DB","1963-04-06","Sacramento State","1997"
"Kirk Botkin","Pittsburgh Steelers","--","TE","1971-03-19","Arkansas","1997"
"Don Sasa","Washington Redskins","--","DE","1972-09-16","Washington State","1997"
"Elvis Grbac","Kansas City Chiefs","--","QB","1970-08-13","Michigan","1997"
"David Palmer","Minnesota Vikings","--","RB","1972-11-19","Alabama","1997"
"Darion Conner","Philadelphia Eagles","--","LB","1967-09-28","Jackson State","1997"
"Byron Chamberlain","Denver Broncos","--","TE","1971-10-17","Wayne State (NE)","1997"
"Darrell Russell","Oakland Raiders","--","DT","1976-05-27","Southern California","1997"
"Keyshawn Johnson","New York Jets","--","WR","1972-07-22","Southern California","1997"
"Desmond Howard","Oakland Raiders","--","WR","1970-05-15","Michigan","1997"
"Fred Baxter","New York Jets","--","TE","1971-06-14","Auburn","1997"
"Clarence Jones","New Orleans Saints","--","OT","1968-05-06","Maryland","1997"
"Lewis Bush","San Diego Chargers","--","LB","1969-12-02","Washington State","1997"
"Robert Massey","New York Giants","--","DB","1967-02-17","North Carolina Central","1997"
"Ricky Siglar","New Orleans Saints","--","OT","1966-06-14","San Jose State","1997"
"Jeff Wilkins","Los Angeles Rams","--","K","1972-04-19","Youngstown State","1997"
"Dwayne Harper","San Diego Chargers","--","DB","1966-03-29","South Carolina State","1997"
"Phillip Daniels","Seattle Seahawks","--","DE","1973-03-04","Georgia","1997"
"Larry Whigham","New England Patriots","--","DB","1972-06-23","Northeast Louisiana","1997"
"Seth Joyner","Green Bay Packers","--","LB","1964-11-18","Texas-El Paso","1997"
"Rodney Young","New York Giants","--","DB","1973-01-25","Louisiana State","1997"
"Sedrick Shaw","New England Patriots","--","RB","1973-11-16","Iowa","1997"
"Brett Maxie","San Francisco 49ers","--","DB","1962-01-13","Texas Southern","1997"
"Terrell Owens","San Francisco 49ers","--","WR","1973-12-07","Tennessee-Chattanooga","1997"
"Chris Jacke","Washington Redskins","--","K","1966-03-12","Texas-El Paso","1997"
"Marco Battaglia","Cincinnati Bengals","--","TE","1973-01-25","Rutgers","1997"
"Alex Van Pelt","Buffalo Bills","--","QB","1970-05-01","Pittsburgh","1997"
"Dan Owens","Atlanta Falcons","--","DT","1967-03-16","Southern California","1997"
"Rhett Hall","Philadelphia Eagles","--","DT","1968-12-05","California","1997"
"Ndukwe Kalu","Philadelphia Eagles","--","DE","1975-08-03","Rice","1997"
"Darrien Gordon","Denver Broncos","--","DB","1970-11-14","Stanford","1997"
"Sam Gash","New England Patriots","--","RB","1969-03-07","Penn State","1997"
"Charles Way","New York Giants","--","RB","1972-12-27","Virginia","1997"
"Darrin Smith","Philadelphia Eagles","--","LB","1970-04-15","Miami","1997"
"Gabe Wilkins","Green Bay Packers","--","DE","1971-09-01","Gardner-Webb","1997"
"Eric Bjornson","Dallas Cowboys","--","TE","1971-12-15","Washington","1997"
"Wally Williams","Baltimore Ravens","--","OG","1971-02-19","Florida A&amp;M","1997"
"Steve Israel","New England Patriots","--","DB","1969-03-16","Pittsburgh","1997"
"Gary Zimmerman","Denver Broncos","--","OT","1961-12-13","Oregon","1997"
"Randall McDaniel","Minnesota Vikings","--","OG","1964-12-19","Arizona State","1997"
"Chad Cota","Carolina Panthers","--","DB","1971-08-13","Oregon","1997"
"Mike Dumas","San Diego Chargers","--","DB","1969-03-18","Indiana","1997"
"Michael Jackson","Baltimore Ravens","--","WR","1969-04-12","Southern Mississippi","1997"
"Jason Sehorn","New York Giants","--","DB","1971-04-15","Southern California","1997"
"Jeff Gooch","Tampa Bay Buccaneers","--","LB","1974-10-31","Austin Peay","1997"
"J.B. Brown","Pittsburgh Steelers","--","DB","1967-01-05","Maryland","1997"
"Joe Horn","Kansas City Chiefs","--","WR","1972-01-16","Itawamba JC (MS)","1997"
"Kenard Lang","Washington Redskins","--","DE","1975-01-31","Miami","1997"
"Dwayne Gordon","New York Jets","--","LB","1969-11-02","New Hampshire","1997"
"Mark Rypien","Los Angeles Rams","--","QB","1962-10-02","Washington State","1997"
"David Frisch","Washington Redskins","--","TE","1970-06-22","Colorado State","1997"
"John Browning","Kansas City Chiefs","--","DE","1973-09-30","West Virginia","1997"
"Terry Mickens","Green Bay Packers","--","WR","1971-02-21","Florida A&amp;M","1997"
"Rick Cunningham","Oakland Raiders","--","OG","1967-01-04","Texas A&amp;M","1997"
"Ruffin Hamilton","Atlanta Falcons","--","LB","1971-03-02","Tulane","1997"
"Anthony Pleasant","Atlanta Falcons","--","DE","1968-01-27","Tennessee State","1997"
"Jay Williams","Los Angeles Rams","--","DE","1971-10-13","Wake Forest","1997"
"Mark Maddox","Buffalo Bills","--","LB","1968-03-23","Northern Michigan","1997"
"George Jamison","Detroit Lions","--","LB","1962-09-30","Cincinnati","1997"
"James Willis","Philadelphia Eagles","--","LB","1972-09-02","Auburn","1997"
"Roman Fortin","Atlanta Falcons","--","C","1967-02-26","San Diego State","1997"
"Ashley Ambrose","Cincinnati Bengals","--","DB","1970-09-17","Mississippi Valley State","1997"
"Brad Daluiso","New York Giants","--","K","1967-12-31","UCLA","1997"
"Randy Kirk","San Francisco 49ers","--","LB","1964-12-27","San Diego State","1997"
"Shawn Jefferson","New England Patriots","--","WR","1969-02-22","Central Florida","1997"
"Damon Jones","Jacksonville Jaguars","--","TE","1974-09-18","Southern Illinois","1997"
"Michael Irvin","Dallas Cowboys","--","WR","1966-03-05","Miami","1997"
"Mike Gruttadauria","Los Angeles Rams","--","C","1972-12-06","Central Florida","1997"
"Marcellus Wiley","Buffalo Bills","--","DE","1974-11-30","Columbia","1997"
"Christian Peter","New York Giants","--","DT","1972-10-05","Nebraska","1997"
"Tony Graziani","Atlanta Falcons","--","QB","1973-12-23","Oregon","1997"
"Don Davey","Jacksonville Jaguars","--","DT","1968-04-08","Wisconsin","1997"
"Marquis Walker","Los Angeles Rams","--","DB","1972-07-06","Southeast Missouri State","1997"
"Fred Lane","Carolina Panthers","--","RB","1975-09-06","Lane","1997"
"Bobby Engram","Chicago Bears","--","WR","1973-01-07","Penn State","1997"
"Dexter McCleon","Los Angeles Rams","--","DB","1973-10-09","Clemson","1997"
"Ted Johnson","New England Patriots","--","LB","1972-12-04","Colorado","1997"
"Jeff Dellenbach","Green Bay Packers","--","OG","1963-02-14","Wisconsin","1997"
"Raymond Jackson","Buffalo Bills","--","DB","1973-02-17","Colorado State","1997"
"Doug Brien","New Orleans Saints","--","K","1970-11-24","California","1997"
"Randy Jordan","Jacksonville Jaguars","--","RB","1970-06-06","North Carolina","1997"
"Ed Perry","Miami Dolphins","--","TE","1974-09-01","James Madison","1997"
"Stepfret Williams","Dallas Cowboys","--","WR","1973-06-14","Northeast Louisiana","1997"
"Rob Burnett","Baltimore Ravens","--","DE","1967-08-27","Syracuse","1997"
"Dwayne Carswell","Denver Broncos","--","TE","1972-01-18","Liberty","1997"
"Shawn Lee","San Diego Chargers","--","DE","1966-10-24","North Alabama","1997"
"Glenn Parker","Kansas City Chiefs","--","OG","1966-04-22","Arizona","1997"
"Donta Jones","Pittsburgh Steelers","--","LB","1972-08-27","Nebraska","1997"
"Doug Widell","Indianapolis Colts","--","OG","1966-09-23","Boston College","1997"
"Jim Everett","San Diego Chargers","--","QB","1963-01-03","Purdue","1997"
"Derek Smith","Washington Redskins","--","LB","1975-01-18","Arizona State","1997"
"Reinard Wilson","Cincinnati Bengals","--","DE","1973-12-12","Florida State","1997"
"Scott Slutzker","Indianapolis Colts","--","TE","1972-12-20","Iowa","1997"
"Isaac Davis","San Diego Chargers","--","OG","1972-04-08","Arkansas","1997"
"Kipp Vickers","Indianapolis Colts","--","OT","1969-08-27","Miami","1997"
"Tony Hutson","Dallas Cowboys","--","OG","1974-03-13","Northeastern","1997"
"Jeff Brady","Minnesota Vikings","--","LB","1968-11-09","Kentucky","1997"
"Detron Smith","Denver Broncos","--","RB","1974-02-25","Texas A&amp;M","1997"
"Jerry Wilson","Miami Dolphins","--","DB","1973-07-17","Southern","1997"
"Jeff Uhlenhake","Washington Redskins","--","C","1966-01-28","Ohio State","1997"
"Brad Badger","Washington Redskins","--","OG","1975-01-11","Stanford","1997"
"Chad Lewis","Philadelphia Eagles","--","TE","1971-10-05","Brigham Young","1997"
"Vernon Crawford","New England Patriots","--","LB","1974-06-25","Florida State","1997"
"Mack Strong","Seattle Seahawks","--","RB","1971-09-11","Georgia","1997"
"Deon Figures","Jacksonville Jaguars","--","DB","1970-01-20","Colorado","1997"
"Brad Ottis","Arizona Cardinals","--","DE","1972-08-02","Wayne State (NE)","1997"
"Roosevelt Potts","Miami Dolphins","--","RB","1971-01-08","Northeast Louisiana","1997"
"Chris Slade","New England Patriots","--","LB","1971-01-30","Virginia","1997"
"Brad Culpepper","Tampa Bay Buccaneers","--","DT","1969-05-08","Florida","1997"
"Mike Morton","Oakland Raiders","--","LB","1972-03-28","North Carolina","1997"
"Ed Simmons","Washington Redskins","--","OT","1963-12-31","Eastern Washington","1997"
"Sean Harris","Chicago Bears","--","LB","1972-02-25","Arizona","1997"
"Brett Wallerstedt","Los Angeles Rams","--","LB","1970-11-24","Arizona State","1997"
"Marshall Faulk","Indianapolis Colts","--","RB","1973-02-26","San Diego State","1997"
"Cornelius Bennett","Atlanta Falcons","--","LB","1965-08-25","Alabama","1997"
"Irving Fryar","Philadelphia Eagles","--","WR","1962-09-28","Nebraska","1997"
"Ruben Brown","Buffalo Bills","--","OG","1972-02-13","Pittsburgh","1997"
"Michael McGruder","New England Patriots","--","DB","1964-05-06","Kent State","1997"
"Henry Jones","Buffalo Bills","--","DB","1967-12-29","Illinois","1997"
"Anthony Redmon","Arizona Cardinals","--","OG","1971-04-09","Auburn","1997"
"Matt Joyce","Arizona Cardinals","--","OG","1972-03-30","Richmond","1997"
"Chris Hayes","New York Jets","--","DB","1972-05-07","Washington State","1997"
"Randy Hilliard","Denver Broncos","--","DB","1967-02-06","Northwestern State","1997"
"Sean Moran","Buffalo Bills","--","DE","1973-06-05","Colorado State","1997"
"James Hundon","Cincinnati Bengals","--","WR","1971-04-09","Portland State","1997"
"Tim Morabito","Carolina Panthers","--","DT","1973-10-12","Boston College","1997"
"Scott Mitchell","Detroit Lions","--","QB","1968-01-02","Utah","1997"
"Andrew Glover","Minnesota Vikings","--","TE","1967-08-12","Grambling","1997"
"John Fina","Buffalo Bills","--","OT","1969-03-11","Arizona","1997"
"Darrius Johnson","Denver Broncos","--","DB","1973-05-18","Oklahoma","1997"
"Jerry Wunsch","Tampa Bay Buccaneers","--","OT","1974-01-21","Wisconsin","1997"
"Mike Scurlock","Los Angeles Rams","--","DB","1972-02-26","Arizona","1997"
"Marcus Buckley","New York Giants","--","LB","1971-02-03","Texas A&amp;M","1997"
"Hugh Douglas","New York Jets","--","DE","1971-08-23","Central State","1997"
"Tom Barndt","Kansas City Chiefs","--","DT","1972-03-14","Pittsburgh","1997"
"Damon Pieri","Carolina Panthers","--","DB","1970-09-25","San Diego State","1997"
"Winfred Tubbs","New Orleans Saints","--","LB","1970-09-24","Texas","1997"
"Zefross Moss","New England Patriots","--","OT","1966-08-17","Alabama State","1997"
"Corwin Brown","New York Jets","--","DB","1970-04-25","Michigan","1997"
"John Hudson","New York Jets","--","OG","1968-01-29","Auburn","1997"
"Clyde Simmons","Jacksonville Jaguars","--","DE","1964-08-04","Western Carolina","1997"
"Kim Herring","Baltimore Ravens","--","DB","1975-09-10","Penn State","1997"
"Phillippi Sparks","New York Giants","--","DB","1969-04-15","Arizona State","1997"
"Scott Gragg","New York Giants","--","OT","1972-02-28","Montana","1997"
"Reggie Rusk","Tampa Bay Buccaneers","--","DB","1972-10-19","Kentucky","1997"
"Dan Turk","Washington Redskins","--","C","1962-06-25","Wisconsin","1997"
"Jared Tomich","New Orleans Saints","--","DE","1974-04-24","Nebraska","1997"
"Brandon Sanders","New York Giants","--","DB","1973-06-10","Arizona","1997"
"Rodney Hampton","New York Giants","--","RB","1969-04-03","Georgia","1997"
"Ray Crittenden","San Diego Chargers","--","WR","1970-03-01","Virginia Tech","1997"
"Fred Barnett","Miami Dolphins","--","WR","1966-06-17","Arkansas State","1997"
"Rod Woodson","San Francisco 49ers","--","DB","1965-03-10","Purdue","1997"
"Tamarick Vanover","Kansas City Chiefs","--","WR","1974-02-25","Florida State","1997"
"David LaFleur","Dallas Cowboys","--","TE","1974-01-29","Louisiana State","1997"
"Marlo Perry","Buffalo Bills","--","LB","1972-08-25","Jackson State","1997"
"Irving Spikes","Miami Dolphins","--","RB","1970-12-21","Northeast Louisiana","1997"
"Dana Stubblefield","San Francisco 49ers","--","DT","1970-11-14","Kansas","1997"
"Gerald Williams","Green Bay Packers","--","DE","1963-09-08","Auburn","1997"
"Ed King","New Orleans Saints","--","OG","1969-12-03","Auburn","1997"
"Regan Upshaw","Tampa Bay Buccaneers","--","DE","1975-08-12","California","1997"
"Emmitt Smith","Dallas Cowboys","--","RB","1969-05-15","Florida","1997"
"Andre Hastings","New Orleans Saints","--","WR","1970-11-07","Georgia","1997"
"Ray Mickens","New York Jets","--","DB","1973-01-04","Texas A&amp;M","1997"
"Mitch Berger","Minnesota Vikings","--","P","1972-06-24","Colorado","1997"
"Grant Williams","Seattle Seahawks","--","OT","1974-05-10","Louisiana Tech","1997"
"Kimo von Oelhoffen","Cincinnati Bengals","--","DT","1971-01-30","Boise State","1997"
"Charles Dimry","Philadelphia Eagles","--","DB","1966-01-31","Nevada-Las Vegas","1997"
"Scott Blanton","Washington Redskins","--","K","1973-07-01","Oklahoma","1997"
"Paul Gruber","Tampa Bay Buccaneers","--","OT","1965-02-24","Wisconsin","1997"
"Marcus Pollard","Indianapolis Colts","--","TE","1972-02-08","Bradley","1997"
"Abdul-Karim Al-Jabbar","Miami Dolphins","--","RB","1974-06-28","UCLA","1997"
"Ryan Stewart","Detroit Lions","--","DB","1975-09-30","Georgia Tech","1997"
"Toby Gowin","Dallas Cowboys","--","P","1975-03-30","North Texas","1997"
"Aaron Bailey","Indianapolis Colts","--","WR","1971-10-24","Louisville","1997"
"Raymond Austin","New York Jets","--","DB","1974-12-21","Tennessee","1997"
"Chris Walsh","Minnesota Vikings","--","WR","1968-12-12","Stanford","1997"
"Jeff Buckey","Miami Dolphins","--","OT","1974-08-07","Stanford","1997"
"Ronnie Harmon","Chicago Bears","--","RB","1964-05-07","Iowa","1997"
"Jeff Hartings","Detroit Lions","--","OG","1972-09-07","Penn State","1997"
"Justin Armour","Philadelphia Eagles","--","WR","1973-01-01","Stanford","1997"
"James Thrash","Washington Redskins","--","WR","1975-04-28","Missouri Southern State","1997"
"Damon Watts","Indianapolis Colts","--","DB","1972-04-08","Indiana","1997"
"Earl Dotson","Green Bay Packers","--","OT","1970-12-17","Texas A&amp;M-Kingsville","1997"
"Keith Mitchell","New Orleans Saints","--","LB","1974-07-24","Texas A&amp;M","1997"
"Darryl Pounds","Washington Redskins","--","DB","1972-07-21","Nicholls State","1997"
"Trace Armstrong","Miami Dolphins","--","DE","1965-10-05","Florida","1997"
"Mark Harris","San Francisco 49ers","--","WR","1970-04-28","Stanford","1997"
"Errict Rhett","Tampa Bay Buccaneers","--","RB","1970-12-11","Florida","1997"
"Luther Elliss","Detroit Lions","--","DT","1973-03-22","Utah","1997"
"Alfred Williams","Denver Broncos","--","DE","1968-11-06","Colorado","1997"
"Van Malone","Detroit Lions","--","DB","1970-07-01","Texas","1997"
"Tommy Barnhardt","Tampa Bay Buccaneers","--","P","1963-06-11","North Carolina","1997"
"Christian Fauria","Seattle Seahawks","--","TE","1971-09-22","Colorado","1997"
"Mark Tuinei","Dallas Cowboys","--","OT","1960-03-31","Hawaii","1997"
"Bobby Hoying","Philadelphia Eagles","--","QB","1972-09-20","Ohio State","1997"
"Gary Plummer","San Francisco 49ers","--","LB","1960-01-26","California","1997"
"Sherman Williams","Dallas Cowboys","--","RB","1973-08-13","Alabama","1997"
"Kyle Richardson","Miami Dolphins","--","P","1973-03-02","Arkansas State","1997"
"John Carney","San Diego Chargers","--","K","1964-04-20","Notre Dame","1997"
"Damon Denson","New England Patriots","--","OG","1975-02-08","Michigan","1997"
"Brandon Mitchell","New England Patriots","--","DT","1975-06-19","Texas A&amp;M","1997"
"Trevor Pryce","Denver Broncos","--","DT","1975-08-03","Clemson","1997"
"Evan Pilgrim","Chicago Bears","--","OG","1972-08-14","Brigham Young","1997"
"Jerry Rice","San Francisco 49ers","--","WR","1962-10-13","Mississippi Valley State","1997"
"Tito Wooten","New York Giants","--","DB","1971-12-12","Northeast Louisiana","1997"
"Tito Paul","Arizona Cardinals","--","DB","1972-05-24","Ohio State","1997"
"Charlie Williams","Dallas Cowboys","--","DB","1972-02-02","Bowling Green","1997"
"Henry Thomas","New England Patriots","--","DT","1965-01-12","Louisiana State","1997"
"Bernie Parmalee","Miami Dolphins","--","RB","1967-09-16","Ball State","1997"
"Jesse Campbell","Washington Redskins","--","DB","1969-04-11","North Carolina State","1997"
"Robert Brooks","Green Bay Packers","--","WR","1970-06-23","South Carolina","1997"
"Riddick Parker","Seattle Seahawks","--","DT","1972-11-20","North Carolina","1997"
"Henri Crockett","Atlanta Falcons","--","LB","1974-10-28","Florida State","1997"
"Greg Truitt","Cincinnati Bengals","--","C","1965-12-08","Penn State","1997"
"Winston Moss","Seattle Seahawks","--","LB","1965-12-24","Miami","1997"
"Wayne Chrebet","New York Jets","--","WR","1973-08-14","Hofstra","1997"
"Jeff Novak","Jacksonville Jaguars","--","OG","1967-07-27","Texas State","1997"
"Ernie Logan","New York Jets","--","DT","1968-05-18","East Carolina","1997"
"John Mobley","Denver Broncos","--","LB","1973-10-10","Kutztown","1997"
"Adam Treu","Oakland Raiders","--","C","1974-06-24","Nebraska","1997"
"Kwamie Lassiter","Arizona Cardinals","--","DB","1969-12-03","Kansas","1997"
"Joel Smeenge","Jacksonville Jaguars","--","DE","1968-04-01","Western Michigan","1997"
"Jerome Henderson","New York Jets","--","DB","1969-08-08","Clemson","1997"
"Greg Montgomery","Baltimore Ravens","--","P","1964-10-29","Michigan State","1997"
"Jay Bellamy","Seattle Seahawks","--","DB","1972-07-08","Rutgers","1997"
"Lee Woodall","San Francisco 49ers","--","LB","1969-10-31","West Chester","1997"
"Mark Montreuil","San Diego Chargers","--","DB","1971-12-29","Concordia (Quebec)","1997"
"Greg Jeffries","Detroit Lions","--","DB","1971-10-16","Virginia","1997"
"Daimon Shelton","Jacksonville Jaguars","--","RB","1972-09-15","Sacramento State","1997"
"Renaldo Wynn","Jacksonville Jaguars","--","DE","1974-09-03","Notre Dame","1997"
"Corbin Lacina","Buffalo Bills","--","OG","1970-11-02","Augustana (SD)","1997"
"Ki-Jana Carter","Cincinnati Bengals","--","RB","1973-09-12","Penn State","1997"
"Warren Moon","Seattle Seahawks","--","QB","1956-11-18","Washington","1997"
"Drew Bledsoe","New England Patriots","--","QB","1972-02-14","Washington State","1997"
"Stephen Boyd","Detroit Lions","--","LB","1972-08-22","Boston College","1997"
"Rick Terry","New York Jets","--","DE","1974-04-05","North Carolina","1997"
"Joe Johnson","New Orleans Saints","--","DE","1972-07-11","Louisville","1997"
"Ross Verba","Green Bay Packers","--","OG","1973-10-31","Iowa","1997"
"Dexter Nottage","Kansas City Chiefs","--","DE","1970-11-14","Florida A&amp;M","1997"
